DELITO_DESAGREGACION,delitos_seguimiento_predicted,count(robos.NDD)
"ROBO A PERSONAS","OTROS ROBOS",119800
"ROBO A DOMICILIO","OTROS ROBOS",45786
"ROBO DOMICILIOS","OTROS ROBOS",33793
NO_APLICA,"OTROS ROBOS",30363
"OTROS ROBOS","OTROS ROBOS",18091
"ROBO DE CARROS","OTROS ROBOS",16737
"ROBO DE MOTOS","OTROS ROBOS",15284
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","OTROS ROBOS",14763
"ROBO DE ACCESORIOS DE VEHÍCULOS","OTROS ROBOS",13333
"ROBO EN LOCALES COMERCIALES","OTROS ROBOS",8583
"ROBO DE VEHÍCULOS","OTROS ROBOS",8326
"ROBO DE MOTOCICLETAS","OTROS ROBOS",6860
"ROBO A BIENES DE INSTITUCION PUBLICA","OTROS ROBOS",6669
"ROBO OTROS","OTROS ROBOS",5281
"ROBO A BIENES DE UNIDADES ECONOMICAS","OTROS ROBOS",5120
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","OTROS ROBOS",4913
"ROBO EN VÍAS O CARRETERAS","OTROS ROBOS",2113
"ROBO DE BIENES A EMPRESA/FABRICA","OTROS ROBOS",2105
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","OTROS ROBOS",2094
"ROBO DE BIENES A ENTIDAD PÚBLICA","OTROS ROBOS",1813
"ROBO DE BIENES A INSTITUCION EDUCATIVA","OTROS ROBOS",1116
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","OTROS ROBOS",881
"ROBO A BIENES DE INSTITUCIONES DE SALUD","OTROS ROBOS",768
"ROBO A BIENES DE ENTIDADES FINANCIERAS","OTROS ROBOS",741
"ROBO DE BIENES A ENTIDAD PRIVADA","OTROS ROBOS",374
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","OTROS ROBOS",337
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","OTROS ROBOS",282
"ROBO A EMBARCACIONES","OTROS ROBOS",244
"ROBO DE MOTORES EMBARCACIONES","OTROS ROBOS",117
"ROBO A  BOTES PESQUEROS – YATES- FIBRAS-VELEROS ETC.","OTROS ROBOS",74
"HURTO A DOMICILIO","OTROS ROBOS",59
"HURTO A PERSONAS","OTROS ROBOS",59
"HURTO A BIENES PUBLICOS","OTROS ROBOS",29
"HURTO A CARROS","OTROS ROBOS",25
"HURTO A ACCESORIOS","OTROS ROBOS",22
"HURTO A MOTOS","OTROS ROBOS",21
TRANSITO,"OTROS ROBOS",11
"HURTO A BIENES DE UNIDADES ECONOMICAS","OTROS ROBOS",6
ABIGEATO,"OTROS ROBOS",4
"HURTO A BIENES PATRIMONIALES","OTROS ROBOS",2
"HURTO DE LO REQUISADO","OTROS ROBOS",1
"ROBO A BIENES PATRIMONIALES","OTROS ROBOS",1
"HURTO DE BIENES DE USO POLICIAL O MILITAR","OTROS ROBOS",1
